Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,549.136616,0,0,0,false,0.3333333333333333,18 hours ago,false,4894,5898136,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,143.198.3.13,0.986,false,780.009815,0,0,0,false,0.16666666666666666,18 hours ago,false,258,299726,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
Critical,192.168.2.77,::,app.slack.com,0.985,false,3422.838096,0,0,0,false,0.3333333333333333,18 hours ago,false,19,80189,"443:tcp:ssl","rare_signature:ae0302ae33e132dc23c3e8fc205c1217"
High,192.168.2.19,1.1.1.1,,1,false,46.081164999999984,0,0,0,false,0.16666666666666666,18 hours ago,false,9348,4879656,"53:udp:dns",""
High,192.168.2.19,185.125.190.58,,1,false,2.7177710000000013,0,0,0,false,0.16666666666666666,18 hours ago,false,34,7752,"123:udp:ntp",""
High,192.168.2.77,64.23.195.234,,0.659,false,62697.49123,0.8,0,0,false,0.3333333333333333,19 hours ago,false,247,14789547,"9200:tcp:ssl",""
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,40.464071000000004,0,0,0,false,0.3333333333333333,18 hours ago,false,342,8213977,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.77,::,edge.microsoft.com,0.827,false,3546.5898010000005,0,0,0,false,0.3333333333333333,18 hours ago,false,28,350606,"443:tcp:ssl","rare_signature:1fed161553fa7dd9f3c072065827946d"
Medium,192.168.2.77,::,v10.events.data.microsoft.com,0.965,false,32.566935,0,0,0,false,0.6666666666666666,18 hours ago,false,53,444105,"443:tcp:ssl",""
Medium,192.168.2.79,::,ctldl.windowsupdate.com,0.947,false,1261.9378679999998,0,0,0,false,0.6666666666666666,18 hours ago,false,21,41130,"80:tcp:http",""
Medium,192.168.2.77,52.226.139.121,,0,false,21828.680778,0.5031761219166667,0,0,false,0.2,1 day ago,false,0,35912,"443:tcp:ssl",""
Medium,192.168.2.19,64.23.195.234,,0.794,false,110.43099699999999,0,0,0,false,0.3333333333333333,18 hours ago,false,57,7758762,"22:tcp:ssh",""
Medium,192.168.2.79,::,ecs.office.com,0.919,false,5168.470889999999,0.2290457572222222,0,0,false,0.6666666666666666,18 hours ago,false,76,573761,"443:tcp:ssl",""
Medium,192.168.2.82,::,mobile.events.data.microsoft.com,0.785,false,4212.4866489999995,0.21134234535185187,0,0,false,0.5,18 hours ago,false,58,529424,"443:tcp:ssl","rare_signature:258a5a1e95b8a911872bae9081526644"
Medium,192.168.2.79,::,v10.events.data.microsoft.com,0.914,false,120.71207700000001,0,0,0,false,0.6666666666666666,18 hours ago,false,52,496655,"443:tcp:ssl",""
Medium,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.741,false,9017.461360999998,0.300323358537037,0,0,false,0.3333333333333333,18 hours ago,false,89,481717,"443:tcp:ssl",""
Low,192.168.2.82,::,ctldl.windowsupdate.com,0.836,false,2102.448332,0,0,0,false,0.6666666666666666,18 hours ago,false,35,44227,"80:tcp:http",""
Low,192.168.2.79,::,mobile.events.data.microsoft.com,0.824,false,4188.414409,0.21089656312962962,0,0,false,0.5,18 hours ago,false,60,589707,"443:tcp:ssl",""
Low,192.168.2.82,::,ecs.office.com,0.788,false,5858.160250000001,0.2418177824074074,0,0,false,0.6666666666666666,18 hours ago,false,83,631829,"443:tcp:ssl",""
Low,192.168.2.82,::,v10.events.data.microsoft.com,0.781,false,34.63770799999999,0,0,0,false,0.6666666666666666,18 hours ago,false,55,521933,"443:tcp:ssl",""
Low,192.168.2.77,::,www.bing.com,0.602,false,365.702125,0,0,0,false,0.3333333333333333,17 hours ago,false,6,57525,"443:tcp:ssl",""
Low,192.168.2.77,::,ctldl.windowsupdate.com,0.75,false,1201.6354399999998,0,0,0,false,0.6666666666666666,18 hours ago,false,20,28539,"80:tcp:http",""
Low,192.168.2.77,::,settings-win.data.microsoft.com,0.712,false,19.399849,0,0,0,false,0.6666666666666666,18 hours ago,false,37,334499,"443:tcp:ssl",""
None,192.168.2.85,::,ctldl.windowsupdate.com,0.5,false,240.374829,0,0,0,false,0.8333333333333334,23 hours ago,false,4,3851,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.82,151.101.46.172,,0.617,false,396.36917,0,0,0,false,0.5,16 hours ago,false,7,10410,"80:tcp:http,icmp:8/0",""
None,192.168.2.79,::,settings-win.data.microsoft.com,0.589,false,33.107204,0,0,0,false,0.6666666666666666,18 hours ago,false,56,964054,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.547,false,54.970569,0,0,0,false,0.6666666666666666,18 hours ago,false,68,1638451,"443:tcp:ssl",""
None,192.168.2.82,146.75.82.172,,0.489,false,336.3819,0,0,0,false,0.25,23 hours ago,false,6,6874,"80:tcp:http,icmp:8/0",""
None,192.168.2.77,::,disc801.prod.do.dsp.mp.microsoft.com,0.431,false,579.830512,0,0,0,false,0.3333333333333333,7 hours ago,false,6,51459,"443:tcp:ssl",""
None,192.168.2.77,151.101.126.172,,0.403,false,656.79213,0,0,0,false,0.4166666666666667,22 hours ago,false,11,537022,"80:tcp:http",""
None,192.168.2.79,::,kv801.prod.do.dsp.mp.microsoft.com,0.401,false,370.069338,0,0,0,false,0.3333333333333333,23 hours ago,false,4,36459,"443:tcp:ssl",""
None,192.168.2.79,::,geo.prod.do.dsp.mp.microsoft.com,0.401,false,1.098893,0,0,0,false,0.3333333333333333,23 hours ago,false,4,18951,"443:tcp:ssl",""
None,192.168.2.77,::,c.pki.goog,0.39,false,240.134727,0,0,0,false,0.3333333333333333,12 hours ago,false,4,3393,"80:tcp:http",""
None,192.168.2.82,204.79.197.200,,0.375,false,239.862219,0,0,0,false,0.07692307692307693,19 hours ago,false,4,7728,"icmp:8/0",""
None,192.168.2.77,::,3.tlu.dl.delivery.mp.microsoft.com,0.368,false,195.45262699999998,0,0,0,false,0.16666666666666666,21 hours ago,false,8,64008981,"80:tcp:http",""
None,192.168.2.79,::,fe2cr.update.microsoft.com,0.36,false,24.972532,0,0,0,false,0.25,23 hours ago,false,4,686595,"443:tcp:ssl",""
None,192.168.2.77,::,g.bing.com,0.344,false,3.677642,0,0,0,false,0.3333333333333333,18 hours ago,false,4,42988,"443:tcp:ssl",""
