Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.77,::,143.198.3.13,0.996,false,929.8498780000002,0,0,0,false,0.16666666666666666,10 hours ago,false,1385,1601443,"80:tcp:http","rare_signature:Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)"
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,0.994,false,315.392751,0,0,0,false,0.3333333333333333,10 hours ago,false,2821,3392111,"80:tcp:http","rare_signature:Go-http-client/1.1"
Critical,192.168.2.77,::,app.slack.com,0.976,false,2359.036062,0,0,0,false,0.3333333333333333,10 hours ago,false,11,73924,"443:tcp:ssl","rare_signature:9c5d5dbc1f18a617586a8e281845f747"
High,192.168.2.19,1.1.1.1,,1,false,27.23660299999999,0,0,0,false,0.16666666666666666,10 hours ago,false,5412,2824364,"53:udp:dns",""
High,192.168.2.77,52.226.139.121,,0,false,50399.457452,0.8,0,0,false,0.16666666666666666,1 day ago,false,0,68167,"443:tcp:ssl",""
High,192.168.2.77,64.23.195.234,,0,false,50410.071912,0.8,0,0,false,0.3333333333333333,1 day ago,false,0,16746303,"9200:tcp:ssl",""
High,192.168.2.19,185.125.190.58,,0.983,false,1.522574,0,0,0,false,0.16666666666666666,10 hours ago,false,19,4332,"123:udp:ntp",""
High,192.168.2.77,::,edge.microsoft.com,0.831,false,1947.123775,0,0,0,false,0.3333333333333333,10 hours ago,false,16,206310,"443:tcp:ssl","rare_signature:43052b7628ab8b48e3325b286129ec2e"
High,192.168.2.19,::,www.expressapisv2.net,0.828,false,23.219463999999995,0,0,0,false,0.3333333333333333,10 hours ago,false,198,4893381,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
High,192.168.2.79,::,ecs.office.com,0.977,false,729.670217,0,0,0,false,0.6666666666666666,10 hours ago,false,11,101428,"443:tcp:ssl",""
Medium,192.168.2.19,64.23.195.234,,0.847,false,67.034077,0,0,0,false,0.3333333333333333,10 hours ago,false,33,4849782,"22:tcp:ssh",""
Medium,192.168.2.79,::,ctldl.windowsupdate.com,0.831,false,1321.9578539999998,0,0,0,false,0.6666666666666666,10 hours ago,false,22,26077,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.82,::,ctldl.windowsupdate.com,0.821,false,1141.5354680000003,0,0,0,false,0.6666666666666666,10 hours ago,false,19,24122,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
Medium,192.168.2.79,::,v10.events.data.microsoft.com,0.931,false,13.606743,0,0,0,false,0.6666666666666666,10 hours ago,false,27,268974,"443:tcp:ssl",""
Medium,192.168.2.77,::,v10.events.data.microsoft.com,0.901,false,16.710319,0,0,0,false,0.6666666666666666,10 hours ago,false,29,235739,"443:tcp:ssl",""
Medium,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.727,false,4939.2350750000005,0.22480064953703705,0,0,false,0.3333333333333333,10 hours ago,false,48,260342,"443:tcp:ssl",""
Medium,192.168.2.82,::,v10.events.data.microsoft.com,0.871,false,28.113513,0,0,0,false,0.6666666666666666,10 hours ago,false,29,277208,"443:tcp:ssl",""
Medium,192.168.2.82,::,ecs.office.com,0.856,false,820.931346,0,0,0,false,0.6666666666666666,10 hours ago,false,15,146089,"443:tcp:ssl",""
Low,192.168.2.79,::,mobile.events.data.microsoft.com,0.84,false,2425.013782,0,0,0,false,0.5,10 hours ago,false,43,426998,"443:tcp:ssl",""
Low,192.168.2.82,::,mobile.events.data.microsoft.com,0.761,false,2448.954017,0,0,0,false,0.5,10 hours ago,false,35,343774,"443:tcp:ssl",""
Low,192.168.2.79,::,settings-win.data.microsoft.com,0.693,false,26.394965,0,0,0,false,0.6666666666666666,10 hours ago,false,29,627178,"443:tcp:ssl",""
Low,192.168.2.82,204.79.197.200,,0.5,false,239.754729,0,0,0,false,0.16666666666666666,10 hours ago,false,4,7728,"icmp:8/0",""
Low,192.168.2.77,::,www.bing.com,0.5,false,240.498154,0,0,0,false,0.3333333333333333,9 hours ago,false,4,38330,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.631,false,20.647229,0,0,0,false,0.6666666666666666,10 hours ago,false,36,325768,"443:tcp:ssl",""
None,192.168.2.77,::,settings-win.data.microsoft.com,0.566,false,14.139888,0,0,0,false,0.6666666666666666,10 hours ago,false,20,141858,"443:tcp:ssl",""
None,192.168.2.77,::,ctldl.windowsupdate.com,0.52,false,863.327515,0,0,0,false,0.6666666666666666,10 hours ago,false,14,20529,"80:tcp:http",""
None,192.168.2.77,::,c.pki.goog,0.414,false,240.221905,0,0,0,false,0.3333333333333333,9 hours ago,false,4,3395,"80:tcp:http",""
None,192.168.2.77,::,config.edge.skype.com,0.33,false,378.332906,0,0,0,false,0.6666666666666666,20 hours ago,false,4,47900,"443:tcp:ssl","rare_signature:341c6fb7073fcb271037de99bf5e2a56"
None,192.168.2.77,::,arc.msn.com,0.308,false,2.0059940000000003,0,0,0,false,0.3333333333333333,22 hours ago,false,4,50456,"443:tcp:ssl",""
None,192.168.2.77,23.205.255.95,,0.299,false,124.738983,0,0,0,false,0.16666666666666666,16 hours ago,false,4,10791,"443:tcp:ssl,443:tcp:",""
None,192.168.2.77,::,g.live.com,0.298,false,362.125027,0,0,0,false,0.3333333333333333,10 hours ago,false,4,34973,"443:tcp:ssl",""
