Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,56.581806,0,0,0,false,0.4,1 hour ago,false,516,622766,"80:tcp:http","rare_signature:Go-http-client/1.1"
High,192.168.2.19,1.1.1.1,,1,false,4.693509000000001,0,0,0,false,0.2,2 hours ago,false,986,514692,"53:udp:dns",""
High,192.168.2.19,::,www.expressapisv2.net,0.808,false,4.255496000000001,0,0,0,false,0.4,1 hour ago,false,36,955668,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
Medium,192.168.2.77,::,timeserversync.com,0.797,false,43.681664,0,0,0,false,0.4,1 hour ago,false,139,157487,"80:tcp:http",""
Medium,192.168.2.77,::,weathersync.cloud,0.781,false,200.94673000000003,0,0,0,false,0.4,1 hour ago,false,129,146308,"80:tcp:http",""
Low,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.586,false,1047.6163700000002,0,0,0,false,0.4,1 hour ago,false,9,48619,"443:tcp:ssl",""
Low,192.168.2.19,185.125.190.58,,0.5,false,0.31859499999999996,0,0,0,false,0.2,1 hour ago,false,4,912,"123:udp:ntp",""
None,192.168.2.79,::,ctldl.windowsupdate.com,0.445,false,300.194065,0,0,0,false,0.8,1 hour ago,false,5,4794,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.19,64.23.195.234,,0.37,false,12.124098,0,0,0,false,0.4,1 hour ago,false,6,1010376,"22:tcp:ssh",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.342,false,433.524736,0,0,0,false,0.6,1 hour ago,false,5,49238,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
None,192.168.2.82,::,v10.events.data.microsoft.com,0.388,false,1.908129,0,0,0,false,0.8,1 hour ago,false,4,34270,"443:tcp:ssl",""
None,192.168.2.79,::,v10.events.data.microsoft.com,0.387,false,2.46631,0,0,0,false,0.8,1 hour ago,false,5,50570,"443:tcp:ssl",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.261,false,531.90708,0,0,0,false,0.6,1 hour ago,false,8,79211,"443:tcp:ssl",""
