Severity,Source IP,Destination IP,FQDN,Beacon Score,Strobe,Total Duration,Long Connection Score,Subdomains,C2 Over DNS Score,Threat Intel,Prevalence,First Seen,Missing Host Header,Connection Count,Total Bytes,Port:Proto:Service,Modifiers
Critical,192.168.2.19,::,connectivity-check.ubuntu.com,1,false,123.49923100000001,0,0,0,false,0.3333333333333333,1 hour ago,false,512,624357,"80:tcp:http","rare_signature:Go-http-client/1.1"
High,192.168.2.19,1.1.1.1,,1,false,4.860447000000002,0,0,0,false,0.16666666666666666,2 hours ago,false,986,514692,"53:udp:dns",""
High,192.168.2.79,52.226.139.121,,0,false,68409.741309,0.8,0,0,false,0.16666666666666666,19 hours ago,false,0,460398,"443:tcp:ssl",""
High,192.168.2.77,::,timeserversync.com,0.995,false,247.97957600000004,0,0,0,false,0.16666666666666666,1 hour ago,false,135,153155,"80:tcp:http",""
High,192.168.2.77,::,weathersync.cloud,0.995,false,231.66007399999998,0,0,0,false,0.16666666666666666,1 hour ago,false,136,154192,"80:tcp:http",""
High,192.168.2.19,::,www.expressapisv2.net,0.807,false,4.209771,0,0,0,false,0.3333333333333333,1 hour ago,false,36,709131,"443:tcp:ssl","rare_signature:871a754af286dfb70c1b53c6887c62e0"
Low,192.168.2.77,::,array808.prod.do.dsp.mp.microsoft.com,0.543,false,649.2941069999999,0,0,0,false,0.3333333333333333,1 hour ago,false,6,32359,"443:tcp:ssl",""
None,192.168.2.82,::,mobile.events.data.microsoft.com,0.345,false,437.755517,0,0,0,false,0.5,1 hour ago,false,5,49318,"443:tcp:ssl","rare_signature:b8ea60d6da9167285671d0b6b1c08cc1"
None,192.168.2.79,::,v10.events.data.microsoft.com,0.312,false,2.116565,0,0,0,false,0.6666666666666666,1 hour ago,false,4,37497,"443:tcp:ssl","rare_signature:091f51a7a1c3a4504a224cc081ce9cee"
None,192.168.2.77,::,ctldl.windowsupdate.com,0.248,false,240.258521,0,0,0,false,0.6666666666666666,1 hour ago,false,4,5143,"80:tcp:http","rare_signature:Microsoft-CryptoAPI/10.0"
None,192.168.2.19,64.23.195.234,,0.245,false,11.871156,0,0,0,false,0.3333333333333333,1 hour ago,false,6,983560,"22:tcp:ssh",""
None,192.168.2.79,::,mobile.events.data.microsoft.com,0.453,false,416.971544,0,0,0,false,0.5,1 hour ago,false,8,78572,"443:tcp:ssl",""
None,192.168.2.77,::,v10.events.data.microsoft.com,0.382,false,0.866751,0,0,0,false,0.6666666666666666,1 hour ago,false,4,31736,"443:tcp:ssl",""
None,192.168.2.82,::,v10.events.data.microsoft.com,0.328,false,2.5655289999999997,0,0,0,false,0.6666666666666666,1 hour ago,false,5,45926,"443:tcp:ssl",""
None,192.168.2.82,::,settings-win.data.microsoft.com,0.262,false,2.6896079999999998,0,0,0,false,0.5,1 hour ago,false,5,35363,"443:tcp:ssl",""
